ID,CaseNumber,Date,Block,IUCR,PrimaryType,Description,LocationDescription,Arrest,Domestic,Beat,District,Ward,CommunityArea,FBICode,XCoordinate,YCoordinate,Year,UpdatedOn,Latitude,Longitude,Location
10335175,HY526079,11/11/2015 11:00:00 PM,111XX S ASHLAND AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,2234.0,22.0,34.0,75.0,11,1167560.0,1830898.0,2015.0,12/10/2015 03:52:18 PM,41.69152593,-87.662168766,"(41.69152593, -87.662168766)"
8733689,HV409277,07/31/2012 03:45:00 PM,033XX S LITUANICA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,913.0,9.0,11.0,60.0,14,1170847.0,1882995.0,2012.0,02/10/2018 03:50:01 PM,41.834415755,-87.648616438,"(41.834415755, -87.648616438)"
1728722,G534730,09/06/2001 07:08:00 PM,074XX N DAMEN AV,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,2424.0,24.0,,,03,1161619.0,1949534.0,2001.0,08/17/2015 03:03:40 PM,42.017200018,-87.68061788,"(42.017200018, -87.68061788)"
7891371,HT121072,01/15/2011 12:01:00 AM,005XX N KINGSBURY ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,True,False,1831.0,18.0,42.0,8.0,07,1173133.0,1903693.0,2011.0,02/04/2016 06:33:39 AM,41.891162264,-87.639614884,"(41.891162264, -87.639614884)"
11725094,JC309457,06/16/2019 11:15:00 PM,012XX S WABASH AVE,0460,BATTERY,SIMPLE,RESTAURANT,False,False,131.0,1.0,3.0,33.0,08B,1176963.0,1894862.0,2019.0,06/30/2019 03:41:21 PM,41.866843668,-87.625816668,"(41.866843668, -87.625816668)"
5053018,HM659821,10/14/2006 02:20:00 PM,008XX N KEDZIE AVE,0870,THEFT,POCKET-PICKING,STREET,False,False,1121.0,11.0,27.0,23.0,06,1154891.0,1905271.0,2006.0,02/28/2018 03:56:25 PM,41.895877613,-87.706566627,"(41.895877613, -87.706566627)"
2384943,HH695471,10/06/2002 03:25:00 AM,062XX N WHIPPLE ST,0810,THEFT,OVER $500,STREET,False,False,2413.0,24.0,50.0,2.0,06,1154886.0,1941310.0,2002.0,02/28/2018 03:56:25 PM,41.994771244,-87.705615643,"(41.994771244, -87.705615643)"
1395038,G970875,02/21/2001 06:40:00 PM,015XX W 115 ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,2234.0,22.0,,,26,1167955.0,1828502.0,2001.0,08/17/2015 03:03:40 PM,41.684942448,-87.660791108,"(41.684942448, -87.660791108)"
7200427,HR613995,10/28/2009 07:00:00 PM,041XX N MONITOR AVE,0810,THEFT,OVER $500,STREET,False,False,1624.0,16.0,38.0,15.0,06,1136608.0,1926944.0,2009.0,02/28/2018 03:56:25 PM,41.955697638,-87.773197065,"(41.955697638, -87.773197065)"
8252087,HT483867,09/06/2011 01:35:00 PM,062XX S STONY ISLAND AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,314.0,3.0,5.0,42.0,08B,1187940.0,1864073.0,2011.0,02/10/2018 03:50:01 PM,41.78210152,-87.586502002,"(41.78210152, -87.586502002)"
2211520,HH472948,06/27/2002 06:00:00 PM,089XX S UNION AVE,0560,ASSAULT,SIMPLE,STREET,False,True,2223.0,22.0,21.0,71.0,08A,1173206.0,1845613.0,2002.0,09/07/2021 03:41:02 PM,41.73178346,-87.64106501,"(41.73178346, -87.64106501)"
10505038,HZ246337,04/30/2016 12:00:00 PM,027XX W ROOSEVELT RD,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,1135.0,11.0,28.0,29.0,06,1158071.0,1894595.0,2016.0,02/10/2018 03:50:01 PM,41.866517317,-87.695178701,"(41.866517317, -87.695178701)"
2617781,HJ218324,03/04/2003 02:00:00 AM,072XX S ASHLAND AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,False,False,735.0,7.0,17.0,67.0,04B,1166934.0,1856771.0,2003.0,02/28/2018 03:56:25 PM,41.762538726,-87.663723774,"(41.762538726, -87.663723774)"
11757442,JC348513,07/14/2019 03:00:00 AM,022XX N LINCOLN AVE,0890,THEFT,FROM BUILDING,BAR OR TAVERN,False,False,1812.0,18.0,43.0,7.0,06,1171576.0,1915192.0,2019.0,07/21/2019 03:44:14 PM,41.922750548,-87.644994062,"(41.922750548, -87.644994062)"
6345418,HP431669,07/03/2008 12:00:00 PM,069XX S PRAIRIE AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,322.0,3.0,6.0,69.0,05,1179237.0,1859150.0,2008.0,02/28/2018 03:56:25 PM,41.768795301,-87.618559201,"(41.768795301, -87.618559201)"
3586058,HK677589,10/10/2004 12:15:00 AM,025XX W ARMITAGE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,False,1431.0,14.0,1.0,22.0,07,1159104.0,1913198.0,2004.0,02/28/2018 03:56:25 PM,41.91754444,-87.690875091,"(41.91754444, -87.690875091)"
13260604,JG484351,10/17/2023 11:00:00 AM,090XX S JEFFERY BLVD,0820,THEFT,$500 AND UNDER,STREET,False,False,413.0,4.0,8.0,48.0,06,1191084.0,1845511.0,2023.0,11/01/2023 03:40:30 PM,41.731090315,-87.575574876,"(41.731090315, -87.575574876)"
4797164,HM410746,06/13/2006 05:46:31 AM,071XX S CALUMET AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,323.0,3.0,6.0,69.0,09,1179713.0,1857804.0,2006.0,02/28/2018 03:56:25 PM,41.765090867,-87.616855532,"(41.765090867, -87.616855532)"
10389451,HZ126304,01/23/2016 05:30:00 PM,012XX S LAKE SHORE DR E,0890,THEFT,FROM BUILDING,OTHER,False,False,132.0,1.0,2.0,33.0,06,1178818.0,1894964.0,2016.0,02/10/2018 03:50:01 PM,41.867081407,-87.619003708,"(41.867081407, -87.619003708)"
10528556,HZ271384,05/19/2016 04:30:00 PM,108XX S DR MARTIN LUTHER KING JR DR,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,False,False,513.0,5.0,9.0,49.0,05,1180832.0,1833242.0,2016.0,02/10/2018 03:50:01 PM,41.697664144,-87.613507,"(41.697664144, -87.613507)"
1832559,G668305,11/05/2001 11:35:00 AM,051XX S LEAMINGTON AV,0460,BATTERY,SIMPLE,RESIDENCE,False,True,814.0,8.0,,,08B,1142944.0,1869836.0,2001.0,08/17/2015 03:03:40 PM,41.798870143,-87.751327864,"(41.798870143, -87.751327864)"
7659987,HS465163,08/16/2010 11:40:00 AM,014XX W 49TH ST,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,True,False,933.0,9.0,20.0,61.0,26,1167577.0,1872256.0,2010.0,02/10/2018 03:50:01 PM,41.805017708,-87.660923247,"(41.805017708, -87.660923247)"
13247534,JG468371,10/18/2023 09:54:00 AM,013XX S CLINTON ST,0560,ASSAULT,SIMPLE,STREET,True,False,124.0,1.0,28.0,28.0,08A,1172935.0,1893960.0,2023.0,10/26/2023 03:43:24 PM,41.864458661,-87.640630527,"(41.864458661, -87.640630527)"
